Date,JKT,BDG,YKK,SMG,SBY
26/10/2021,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 1,PPKM Level 1
27/10/2021,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 1,PPKM Level 1
28/10/2021,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 1,PPKM Level 1
29/10/2021,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 1,PPKM Level 1
30/10/2021,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 1,PPKM Level 1
31/10/2021,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 1,PPKM Level 1
01/11/2021,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 1,PPKM Level 1
02/11/2021,PPKM Level 1,PPKM Level 1,PPKM Level 1,PPKM Level 1,PPKM Level 1
03/11/2021,PPKM Level 1,PPKM Level 1,PPKM Level 1,PPKM Level 1,PPKM Level 1
04/11/2021,PPKM Level 1,PPKM Level 1,PPKM Level 1,PPKM Level 1,PPKM Level 1
05/11/2021,PPKM Level 1,PPKM Level 1,PPKM Level 1,PPKM Level 1,PPKM Level 1
06/11/2021,PPKM Level 1,PPKM Level 1,PPKM Level 1,PPKM Level 1,PPKM Level 1
07/11/2021,PPKM Level 1,PPKM Level 1,PPKM Level 1,PPKM Level 1,PPKM Level 1
08/11/2021,PPKM Level 1,PPKM Level 1,PPKM Level 1,PPKM Level 1,PPKM Level 1
09/11/2021,PPKM Level 1,PPKM Level 1,PPKM Level 1,PPKM Level 1,PPKM Level 1
10/11/2021,PPKM Level 1,PPKM Level 1,PPKM Level 1,PPKM Level 1,PPKM Level 1
11/11/2021,PPKM Level 1,PPKM Level 1,PPKM Level 1,PPKM Level 1,PPKM Level 1
12/11/2021,PPKM Level 1,PPKM Level 1,PPKM Level 1,PPKM Level 1,PPKM Level 1
13/11/2021,PPKM Level 1,PPKM Level 1,PPKM Level 1,PPKM Level 1,PPKM Level 1
14/11/2021,PPKM Level 1,PPKM Level 1,PPKM Level 1,PPKM Level 1,PPKM Level 1
15/11/2021,PPKM Level 1,PPKM Level 1,PPKM Level 1,PPKM Level 1,PPKM Level 1
16/11/2021,PPKM Level 1,PPKM Level 2,PPKM Level 2,PPKM Level 1,PPKM Level 1
17/11/2021,PPKM Level 1,PPKM Level 2,PPKM Level 2,PPKM Level 1,PPKM Level 1
18/11/2021,PPKM Level 1,PPKM Level 2,PPKM Level 2,PPKM Level 1,PPKM Level 1
19/11/2021,PPKM Level 1,PPKM Level 2,PPKM Level 2,PPKM Level 1,PPKM Level 1
20/11/2021,PPKM Level 1,PPKM Level 2,PPKM Level 2,PPKM Level 1,PPKM Level 1
21/11/2021,PPKM Level 1,PPKM Level 2,PPKM Level 2,PPKM Level 1,PPKM Level 1
22/11/2021,PPKM Level 1,PPKM Level 2,PPKM Level 2,PPKM Level 1,PPKM Level 1
23/11/2021,PPKM Level 1,PPKM Level 2,PPKM Level 2,PPKM Level 1,PPKM Level 1
24/11/2021,PPKM Level 1,PPKM Level 2,PPKM Level 2,PPKM Level 1,PPKM Level 1
25/11/2021,PPKM Level 1,PPKM Level 2,PPKM Level 2,PPKM Level 1,PPKM Level 1
26/11/2021,PPKM Level 1,PPKM Level 2,PPKM Level 2,PPKM Level 1,PPKM Level 1
27/11/2021,PPKM Level 1,PPKM Level 2,PPKM Level 2,PPKM Level 1,PPKM Level 1
28/11/2021,PPKM Level 1,PPKM Level 2,PPKM Level 2,PPKM Level 1,PPKM Level 1
29/11/2021,PPKM Level 1,PPKM Level 2,PPKM Level 2,PPKM Level 1,PPKM Level 1
30/11/2021,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 1,PPKM Level 1
01/12/2021,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 1,PPKM Level 1
02/12/2021,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 1,PPKM Level 1
03/12/2021,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 1,PPKM Level 1
04/12/2021,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 1,PPKM Level 1
05/12/2021,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 1,PPKM Level 1
06/12/2021,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 1,PPKM Level 1
07/12/2021,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 1,PPKM Level 1
08/12/2021,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 1,PPKM Level 1
09/12/2021,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 1,PPKM Level 1
10/12/2021,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 1,PPKM Level 1
11/12/2021,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 1,PPKM Level 1
12/12/2021,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 1,PPKM Level 1
13/12/2021,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 1,PPKM Level 1
14/12/2021,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 2
15/12/2021,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 2
16/12/2021,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 2
17/12/2021,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 2
18/12/2021,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 2
19/12/2021,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 2
20/12/2021,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 2
21/12/2021,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 2
22/12/2021,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 2
23/12/2021,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 2
24/12/2021,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 3
25/12/2021,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 3
26/12/2021,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 3
27/12/2021,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 3
28/12/2021,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 3
29/12/2021,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 3
30/12/2021,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 3
